,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
17158,30.08.2023 11:04,SU196164,ДИРС.группа клиентского сервиса,"Значок ""Путь""",0,0,1,Лучше вместе,на витрине
17160,30.08.2023 10:27,SU165856,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Свитшот + Шоппер,0,0,1,Мерч и сувениры КРОК,закончился
17163,30.08.2023 10:11,SU160952,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,Худи КРОК Hard,1500,0,1,В стиле КРОК,закончился
17176,29.08.2023 18:16,SU176216,ДИМС.группа систем безопасности,Футболка КРОК Hard,800,0,1,В стиле КРОК,закончился
17182,29.08.2023 15:34,SU172684,ПД.группа комплексного сопровождения проектов,Кофе КРОК ,150,0,1,Сервис,закончился
17183,29.08.2023 15:26,SU197019,ДИРС.группа инженеров по вычислительной инфраструктуре,Стикерпак Soft&Hard ,25,0,1,В стиле КРОК,закончился
17188,29.08.2023 13:44,SU197051,ДРП.отдел рекрутинга, Welcome-набор с кружкой и футболкой ,0,0,1,Без категории,закончился
17192,29.08.2023 12:39,SU196997,ДРПО.группа системных инженеров,Футболка КРОК Soft,800,0,1,В стиле КРОК,закончился
17194,29.08.2023 12:01,SU101878,ДИРС.группа администраторов сервисных проектов,"Значок ""Компас""",0,0,1,Лучше вместе,на витрине
17195,29.08.2023 11:46,SU191100,ДИРС.группа управления сервисными проектами,"Значок ""Путь""",0,0,1,Лучше вместе,на витрине
17196,29.08.2023 11:46,SU191100,ДИРС.группа управления сервисными проектами,Рюкзак КРОК Creative thoughts,0,0,1,Мерч и сувениры КРОК,закончился
17201,29.08.2023 10:43,SU196937,ДИРС.Облачные сервисы.группа управления облачными проектами,Чехол на пропуск Soft&Hard ,350,0,1,В стиле КРОК,закончился
17206,29.08.2023 10:20,SU319,ДТК.Цифровое производство.группа инженеров цифрового производства,Подписка Яндекс плюс  ,200,0,1,Поймай баланс,закончился
17207,29.08.2023 10:20,SU161990,ДИРС.группа SRE-инженеров,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
17212,29.08.2023 9:12,SU196567,ДВА.группа автоматизации производственных процессов,Шоппер  ,0,0,1,Мерч и сувениры КРОК,закончился
17213,29.08.2023 9:00,SU197049,ДРПО.ГИС.выборы. группа разработчиков,Welcome-набор с кружкой и сумкой,0,0,1,Без категории,закончился
17214,28.08.2023 23:25,SU157701,ДРПО.ГИС.росстат. группа разработчиков,Ежедневник,0,0,1,Мерч и сувениры КРОК,закончился
17215,28.08.2023 23:24,SU157701,ДРПО.ГИС.росстат. группа разработчиков,Беспроводные наушники с активным шумоподавлением,3000,0,1,Прокачай эффективность,закончился
